Linhas de fornecimento,Lista de municipios
"Linha de Fornecimento 232: MÁQUINAS DE COSTURA INDUSTRIAL E OFICINAS MÓVEIS 
DE CONSERTOS EM TECIDOS",Município 3034: Caracaraí
Linha de Fornecimento 233: MÁQUINAS DE EMBALAR E EMPACOTAR,Município 3050: Alto Alegre
Linha de Fornecimento 234: MAQUINAS INDUSTRIAIS DE VIDRO E CRISTAIS,Município 3077: Bonfim
"Linha de Fornecimento 235: MÁQUINAS REGISTRADORAS AUTOMÁTICAS E MÁQUINAS 
ACIONADAS COMFICHAS",Município 3093: Mucajaí
"Linha de Fornecimento 236: EQUIPAMENTOS DIVERSOS PARA SERVIÇOS 
PROFISSIONAIS E COMERCIAIS",Município 3107: CURRALINHO
"Linha de Fornecimento 237: MÁQUINAS E EQUIPAMENTOS PARA PRODUTOS 
ALIMENTÍCIOS",Município 3115: Normandia
"Linha de Fornecimento 238: EQUIPAMENTO PARA IMPRESSÃO, DUPLICAÇÃO E 
ENCADERNAÇÃO",Município 3131: São João da Baliza
Linha de Fornecimento 239: MÁQUINAS INDUSTRIAIS PARA MARCAÇÃO,Município 3158: São Luiz
Linha de Fornecimento 240: MÁQUINAS PARA INDÚSTRIA DE POLPA E DE PAPEL,Município 3174: Mateiros
Linha de Fornecimento 241: MÁQUINAS PARA TRABALHOS EM BORRACHA E PLÁSTICO,Município 3182: GEMINIANO
Linha de Fornecimento 242: MÁQUINAS PARA INDÚSTRIAS TÊXTEIS,Município 3212: Novo Jardim
"Linha de Fornecimento 243: MÁQUINAS PARA INDÚSTRIAS DE PRODUTOS DE ARGILA E 
CONCRETO",Município 3220: ILHA GRANDE DO PIAUI
Linha de Fornecimento 244: MÁQUINAS PARA INDÚSTRIAS DE CRISTAL E VIDRO,Município 3239: Rio da Conceição
Linha de Fornecimento 245: MÁQUINAS PARA INDÚSTRIAS DE TABACO,Município 3255: Taipas do Tocantins
Linha de Fornecimento 246: MÁQUINAS PARA INDÚSTRIAS DE COURO E DE CURTUMES,Município 3263: JOAO COSTA
"Linha de Fornecimento 247: MÁQUINAS PARA INDÚSTRIAS DE PRODUTOS QUÍMICOS E 
FARMACÊUTICOS",Município 3271: Cariri do Tocantins
"Linha de Fornecimento 248: SISTEMAS DE GERAÇÃO E DISTRIBUIÇÃO DE GÁS, FIXOS 
OU MÓVEIS",Município 3298: Jaú do Tocantins
Linha de Fornecimento 249: MAQUINARIA PARA REDUÇÃO INDUSTRIAL DE TAMANHO,Município 3310: Sandolândia
"Linha de Fornecimento 250: MÁQUINAS ESPECIALIZADAS PARA FABRICAÇÃO DE 
SEMICONDUTORES,CIRCUITOS MICROELETRÔNICOS E PLACAS DE CIRCUITOS IMPRESSOS",Município 3336: São Salvador do Tocantins
"Linha de Fornecimento 251: MÁQUINAS PARA FUNDIÇÃO, EQUIPAMENTOS E 
SUPRIMENTOS CORRELATOS",Município 3344: JUREMA
"Linha de Fornecimento 252: MÁQUINAS ESPECIALIZADAS PARA FABRICAÇÃO DE 
RECIPIENTES METÁLICOS E EQUIPAMENTOS CORRELATOS",Município 3352: Sucupira
"Linha de Fornecimento 253: MÁQUINARIA ESPECIALIZADA PARA ARMAMENTO E 
MUNIÇÃO E EQUIPAMENTOS CORRELATOS",Município 3379: Abreulândia
Linha de Fornecimento 254: MAQUINARIA INDUSTRIL PARA MONTAGEM,Município 3395: Brasilândia do Tocantins
"Linha de Fornecimento 255: EQUIPAMENTOS E INSTALAÇÕES PARA SANEAMENTO 
AMBIENTAL",Município 3409: Lagoa do Piauí
Linha de Fornecimento 256: MÁQUINAS DIVERSAS PARA INDÚSTRIAS ESPECIALIZADAS,Município 3417: Bom Jesus do Tocantins
Linha de Fornecimento 257: EQUIPAMENTO PARA PREPARAÇÃO DO SOLO,Município 3425: LAGOA DO SÍTIO
Linha de Fornecimento 258: EQUIPAMENTO DE COLHEITA,Município 3433: Centenário
"Linha de Fornecimento 259: EQUIPAMENTO DE LATICÍNIOS, AVICULTURA E PECUÁRIA",Município 3441: MADEIRO
"Linha de Fornecimento 260: EQUIPAMENTO PARA CONTROLE DE PRAGAS, DOENÇAS E 
GEADAS",Município 3450: Fortaleza do Tabocão
Linha de Fornecimento 261: IMPLEMENTOS E FERRAMENTAS DE JARDINAGEM,Município 3476: Itapiratins
"Linha de Fornecimento 262: VEICULOS DE TRACAO ANIMAL E REBOQUES PARA USO 
AGRICOLA",Município 3484: MILTON BRANDAO
"Linha de Fornecimento 263: SELARIA, ARREAMENTO, CHICOTE E ACESSÓRIOS 
CORRELATOS PARA ANIMAIS",Município 3492: Juarina
"Linha de Fornecimento 264: EQUIPAMENTOS PARA MOVIMENTAÇÃO E ESCAVAÇÃO DE 
TERRA",Município 3514: Lajeado
Linha de Fornecimento 265: GUINDASTES E ESCAVADEIRAS,Município 3530: Lagoa do Tocantins
Linha de Fornecimento 266: ACESSÓRIOS PARA GUINDASTES E ESCAVADEIRAS,Município 3549: MURICI DOS PORTELAS
"Linha de Fornecimento 267: EQUIPAMENTOS PARA MINERAÇÃO, PERFURAÇÃO DE 
ROCHAS, TERRA E CORRELATOS",Município 3557: Piraquê
Linha de Fornecimento 268: EQUIPAMENTO DE DESOBSTRUÇÃO E LIMPEZA DE ESTRADAS,Município 3573: Recursolândia
Linha de Fornecimento 269: ACESSÓRIOS PARA CAMINHÕES E TRATORES,Município 3590: Rio dos Bois
"Linha de Fornecimento 270: EQUIPAMENTO PARA PRODUÇÃO E DISTRIBUIÇÃO DE 
PETRÓLEO",Município 3611: Santa Maria do Tocantins
Linha de Fornecimento 271: EQUIPAMENTOS DIVERSOS PARA CONSTRUÇÃO,Município 3620: PAJEU DO PIAUI
Linha de Fornecimento 272: TRANSPORTADORES,Município 3638: São Félix do Tocantins
Linha de Fornecimento 273: EQUIPAMENTOS ALIMENTADORES DE MATERIAIS-PRIMAS,Município 3654: Tupiratins
Linha de Fornecimento 274: EQUIPAMENTOS NÃO AUTOPROPULSIONADO PARA MOVIMENTAÇÃO DE MATERIAIS,Município 3670: Lagoa da Confusão
Linha de Fornecimento 275: VEÍCULOS AUTOPROPULSIONADOS PARA ARMAZÉM,Município 3689: PEDRO LAURENTINO
"Linha de Fornecimento 276: POLEAMES, TALHAS, MOITÕES, MASSAMES E LINGAS",Município 3697: Santa Bárbara do Pará
"Linha de Fornecimento 277: GUINCHOS, IÇADORES, GUINDASTES E CÁBREAS",Município 3719: Santa Luzia do Pará
Linha de Fornecimento 278: ELEVADORES E ESCADAS ROLANTES,Município 3727: PORTO ALEGRE DO PIAUI
Linha de Fornecimento 279: EQUIPAMENTOS DIVERSOS PARA MOVIMENTAÇÃO DE MATERIAIS,Município 3735: Terra Alta
Linha de Fornecimento 280: CORRENTES E CABOS DE AÇO,Município 3751: Abel Figueiredo
"Linha de Fornecimento 281: CABOS DE FIBRA, CORDOALHAS E BARBANTES",Município 3778: Eldorado dos Carajás
"Linha de Fornecimento 282: ACESSÓRIOS PARA CORDAS, CABOS E CORRENTES",Município 3794: Palestina do Pará
Linha de Fornecimento 283: EQUIPAMENTO PARA REFRIGERAÇÃO,Município 3816: São Domingos do Araguaia
Linha de Fornecimento 284: EQUIPAMENTO DE AR CONDICIONADO,Município 3824: SAO GONCALO DO GURGUEIA
Linha de Fornecimento 285: COMPONENTES DE EQUIPAMENTOS PARA REFRIGERAÇÃO E AR CONDICIONADO,Município 3832: Água Azul do Norte
"Linha de Fornecimento 286: VENTILADORES, CIRCULADORES DE AR E VENTOINHAS",Município 3859: Cumaru do Norte
Linha de Fornecimento 287: TUBOS DE TURBILHONAMENTO E OUTROS TUBOS RELACIONADOS À REFRIGERAÇÃO,Município 3875: Pau D´Arco
Linha de Fornecimento 288: EQUIPAMENTOS PARA COMBATE A INCÊNDIO,Município 3891: Aurora do Pará
Linha de Fornecimento 289: EQUIPAMENTO PARA MERGULHO E SALVAMENTO MARÍTIMO,Município 3913: Nova Esperança do Piriá
Linha de Fornecimento 290: EQUIPAMENTO PARA DESCONTAMINAÇÃO E IMPREGNAÇÃO,Município 3921: SÃO MIGUEL DA BAIXA GRANDE
"Linha de Fornecimento 291: RECIPIENTES PARA COLETA DE MATERIAIS PERIGOSOS, MATERIAIS E EQUIPAMENTOS DE LIMPEZA",Município 3930: São João de Piribas
Linha de Fornecimento 292: EQUIPAMENTO PARA SEGURANÇA E SALVAMENTO,Município 3956: Tailândia
Linha de Fornecimento 293: EQUIPAMENTO PARA RECICLAGEM E RECUPERAÇÃO,Município 3972: Tucumã
Linha de Fornecimento 294: BOMBAS E COMPRESSORES A VÁCUO,Município 3999: Uruará
Linha de Fornecimento 295: BOMBAS MANUAIS E MECÂNICAS,Município 4014: Abaetetuba
"Linha de Fornecimento 296: CENTRIFUGADORES, SEPARADORES E FILTROS DE PRESSÃO E A VÁCUO",Município 4030: Acará
Linha de Fornecimento 297: CALDEIRAS INDUSTRIAIS,Município 4057: Afuá
Linha de Fornecimento 298: TROCADORES DE CALOR E CONDENSADORES DE VAPOR,Município 4073: Alenquer
Linha de Fornecimento 299: EQUIPAMENTOS INDUSTRIAIS DE VENTILACAO E CIRCULACAO,Município 4081: VILA NOVA DO PIAUI
"Linha de Fornecimento 300: FORNALHAS, FORNOS E ESTUFAS INDUSTRIAIS",Município 4090: Almeirim
"Linha de Fornecimento 301: SECADORES, DESIDRATADORES E ANTI-HIDRATADORES",Município 4103: WALL FERRAZ
Linha de Fornecimento 302: EQUIPAMENTOS PARA PURIFICAÇÃO DE AR,Município 4111: Altamira
Linha de Fornecimento 303: REATORES NUCLEARES,Município 4138: Anajás
Linha de Fornecimento 304: DISPOSITIVOS E ACESSÓRIOS PARA INSTALAÇÕES HIDRÁULICAS,Município 4154: Ananindeua
Linha de Fornecimento 305: EQUIPAMENTOS PARA CALEFAÇÃO E AQUECEDORES DOMÉSTICOS DE ÁGUA,Município 4162: FERNANDO PEDROZA
Linha de Fornecimento 306: EQUIPAMENTOS PARA QUEIMA DE COMBUSTIVEL,Município 4170: Augusto Corrêa
"Linha de Fornecimento 307: EQUIPAMENTOS DIVERSOS DE INSTALAÇÕES HIDRÁULICAS, SANITÁRIASE DE CALEFAÇÃO",Município 4189: Itaja
Linha de Fornecimento 308: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUA,Município 4197: Aveiro
"Linha de Fornecimento 309: EQUIPAMENTOS PARA DESTILAÇÃO DE ÁGUA, PARA USO MARÍTIMO E INDUSTRIAL",Município 4200: MAJOR SALES
Linha de Fornecimento 310: EQUIPAMENTOS PARA TRATAMENTO DE ESGOTOS,Município 4219: Bagre
Linha de Fornecimento 311: CANOS E TUBOS,Município 4235: Baião
Linha de Fornecimento 312: MANGUEIRAS E TUBULAÇÕES FLEXÍVEIS,Município 4243: SANTA MARIA
"Linha de Fornecimento 313: ACESSÓRIOS E FERRAGENS ESPECIAIS PARA MANGUEIRAS, CANOS E TUBOS",Município 4251: Barcarena
Linha de Fornecimento 314: VÁLVULAS ACIONADAS POR FORÇA MOTRIZ,Município 4278: Belém
Linha de Fornecimento 315: VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ,Município 4294: Benevides
Linha de Fornecimento 316: ATUADORES PARA MOVIMENTACAO DE VALVULAS,Município 4316: Bonito
Linha de Fornecimento 317: EQUIPAMENTO ESPECIALIZADO PARA OFICINA DE MANUTENÇÃO E REPARO DE VEÍCULOS MOTORIZADOS,Município 4332: Bragança
Linha de Fornecimento 318: EQUIPAMENTO ESPECIALIZADO PARA OFICINA DE MANUTENÇÃO E REPA-RO DE AERONAVES,Município 4359: BREVES
"Linha de Fornecimento 319: EQUIPAMENTO ESPECIALIZADO PARA MANUTENÇÃO, REPARO E INSPEÇÃODE TORPEDOS",Município 4375: Bujaru
"Linha de Fornecimento 320: EQUIPAMENTO ESPECIALIZADO PARA MANUTENÇÃO,REPARO E INSPEÇÃO DE MINAS SUBMARINAS E BOMBAS DE PROFUNDIDADE",Município 4391: CACHOEIRA DO ARARI
"Linha de Fornecimento 321: EQUIPAMENTO ESPECIALIZADO PARA MANUTENÇÃO,REPARO E INSPEÇÃO DE MUNIÇÃO",Município 4405: ALCANTIL
"Linha de Fornecimento 322: EQUIPAMENTO ESPECIALIZADO PARA MANUTENÇÃO,REPARO E INSPEÇÃO DE FOGUETES",Município 4413: Cametá
Linha de Fornecimento 323: EQUIPAMENTO PARA ABASTECIMENTO DE COMBUSTÍVEL E LUBRIFICAÇÃO,Município 4421: ALGODÃO DE JANDAIRA
Linha de Fornecimento 324: EQUIPAMENTO ESPECIALIZADO PARA OFICINA DE MANUTENÇÃO E REPARO DE MATERIAL DE CONTROLE DE TIRO,Município 4430: Capanema
Linha de Fornecimento 325: EQUIPAMENTO ESPECIALIZADO PARA OFICINA DE MANUTENÇÃO E REPARO DE ARMAMENTO,Município 4456: Capitão Poco
"Linha de Fornecimento 326: EQUIPAMENTO ESPECIALIZADO PARA MANUTENÇÃO,REPARO E INSPEÇÃO DE MÍSSEIS GUIADOS",Município 4464: Aparecida
Linha de Fornecimento 327: EQUIPAMENTO ESPECIALIZADO DIVERSOS PARA OFICINA DE MANUTENÇÃO E REPARO,Município 4472: Castanhal
"Linha de Fornecimento 328: EQUIPAMENTO ESPECIALIZADO PARA MANUTENÇÃO, REPARO E INSPEÇÃODE VEÍCULOS ESPACIAIS",Município 4480: Areia de Baraunas
Linha de Fornecimento 329: EQUIPAMENTO ESPECIALIZADO PARA MANUTENÇÃO E REPARO DE ARMAS MÚLTIPLAS GUIADAS,Município 4499: CHAVES
"Linha de Fornecimento 330: FERRAMENTAS MANUAIS DE CORTE, NÃO ACIONADAS POR FORÇA MOTRIZ",Município 4510: Colares
"Linha de Fornecimento 331: FERRAMENTAS MANUAIS SEM CORTE, NÃO ACIONADAS POR FORÇA MOTRIZ",Município 4529: BARAÚNA
Linha de Fornecimento 332: FERRAMENTAS MANUAIS ACIONADAS POR FORÇA MOTRIZ,Município 4537: Conceição do Araguaia
"Linha de Fornecimento 333: BROCAS, ALARGADORES, ESCARIADORES, MANUAIS E PARA USO EM MÁQUINAS",Município 4553: CURRALINHO
Linha de Fornecimento 334: CABOS DE FERRAMENTAS,Município 4561: BERNARDINO BATISTA
"Linha de Fornecimento 335: MACHOS, MATRIZES E MANDRIS, MANUAIS E MECÂNICOS",Município 4570: Curuçá
Linha de Fornecimento 336: CAIXAS PARA FERRAMENTAS E FERRAGENS,Município 4596: FARO
Linha de Fornecimento 337: JOGOS E CONJUNTOS DE FERRAMENTAS MANUAIS,Município 4600: CACIMBAS
Linha de Fornecimento 338: INSTRUMENTOS DE MEDIÇÃO PARA ARTÍFICES,Município 4618: GURUPÁ
Linha de Fornecimento 339: CALIBRES DE INSPEÇÃO E FERRAMENTAS DE PRECISÃO,Município 4626: CAJAZEIRINHAS
Linha de Fornecimento 340: JOGOS E CONJUNTOS DE INSTRUMENTOS DE MEDIÇÃO,Município 4634: Igarapé-Açu
Linha de Fornecimento 341: PARAFUSOS SEM PORCA,Município 4642: CAPIM
Linha de Fornecimento 342: PARAFUSOS COM PORCA,Município 4650: Igarapé-Miri
Linha de Fornecimento 343: PRISIONEIROS,Município 4677: Inhangapi
Linha de Fornecimento 344: PORCAS E ARRUELAS,Município 4685: CASSERENGUE
"Linha de Fornecimento 345: PREGOS, CHAVETAS E PINOS",Município 4693: Iritúia
Linha de Fornecimento 346: REBITES,Município 4715: Itaituba
Linha de Fornecimento 347: DISPOSITIVOS PARA FIXAÇÃO,Município 4723: COXIXOLA
Linha de Fornecimento 348: GAXETAS E OUTROS MATERIAIS PARA VEDAÇÃO,Município 4731: Itupiranga
Linha de Fornecimento 349: ANÉIS,Município 4758: Jacunda
Linha de Fornecimento 350: TELAS METÁLICAS,Município 4766: CURRAL DE CIMA
Linha de Fornecimento 351: FERRAGENS DIVERSAS,Município 4774: JURUTI
Linha de Fornecimento 352: CANTONEIRAS,Município 4782: DAMIÃO
Linha de Fornecimento 353: FERRAGENS DE PEÇA DE SISTEMAS DE ARMAS,Município 4790: Limoeiro do Ajuru
Linha de Fornecimento 354: DISCOS E PEDRAS ABRASIVOS,Município 4804: GADO BRAVO
Linha de Fornecimento 355: MATERIAIS ABRASIVOS,Município 4812: Magalhães Barata
Linha de Fornecimento 356: BOTÕES E PONTEIROS,Município 4839: Marabá
"Linha de Fornecimento 357: MOLAS DE ARAME, PLANAS E HELICOIDAIS",Município 4847: MARCAÇÃO
"Linha de Fornecimento 358: ANÉIS, BUCHAS E ESPAÇADORES",Município 4855: Maracanã
Linha de Fornecimento 359: EDIFICAÇÕES PRÉ-FABRICADAS E PORTÁTEIS,Município 4863: Marizópolis
Linha de Fornecimento 360: ABRIGOS DE PAREDE RÍGIDA,Município 4871: Marapanim
Linha de Fornecimento 361: CONSTRUÇÕES COLETIVAS MODULARES DE APOIO,Município 4898: MELGACO
Linha de Fornecimento 362: PONTES FIXAS E FLUTUANTES,Município 4910: Mocajuba
Linha de Fornecimento 363: TANQUES DE ARMAZENAGEM,Município 4928: MATUREIA
Linha de Fornecimento 364: EQUIPAMENTOS PARA MONTAGEM DE ANDAIME E FORMAS DE CONCRETO,Município 4936: Moju
Linha de Fornecimento 365: ESTRUTURAS DE TORRES PRÉ-FABRICADAS,Município 4952: MONTE ALEGRE
Linha de Fornecimento 366: ESTRUTURAS PRÉ-FABRICADAS DIVERSAS,Município 4960: POÇO DANTAS
Linha de Fornecimento 367: TÁBUAS E ARTIGOS CORRELATOS À BASE DE MADEIRA,Município 4979: MUANA
Linha de Fornecimento 368: ESQUADRIAS,Município 4995: Nova Timboteua
Linha de Fornecimento 369: COMPENSADOS E FOLHEADOS,Município 5002: PEDRO RÉGIS
"Linha de Fornecimento 370: MATERIAIS DE ORIGEM MINERAL PARA CONSTRUÇÃO, A GRANEL",Município 5010: OBIDOS
"Linha de Fornecimento 371: VIDROS, TELHAS, TIJOLOS E BLOCOS PARA CONSTRUÇÃO",Município 5029: RIACHÃO
"Linha de Fornecimento 372: TUBOS E CONDUTOS, NÃO METÁLICOS, PARA CONSTRUÇÃO",Município 5037: Oeiras do Pará
"Linha de Fornecimento 373: PAINEL DE PAPELÃO,PAPEL EMPREGADO EM CONSTRUÇÃO E MATERIAIS DE ISOLAMENTO TÉRMICO",Município 5045: RIAÇHÃO DO BACAMARTE
Linha de Fornecimento 374: MATERIAIS PARA TELHADOS E REVESTIMENTO DE PAREDES,Município 5053: ORIXIMINA
"Linha de Fornecimento 375: CERCAS, GRADES E PORTÕES",Município 5061: RIAÇHÃO DO POÇO
Linha de Fornecimento 376: COMPONENTES PRÉ-FABRICADOS PARA CONSTRUÇÃO,Município 5070: Ourém
Linha de Fornecimento 377: MATERIAL DE CONSTRUÇÃO SINTÉTICO E ARTIGOS CORRELATOS,Município 5088: RIACHO DE SANTO ANTONIO
Linha de Fornecimento 378: MATERIAIS DIVERSOS PARA CONSTRUÇÃO,Município 5096: Paragominas
Linha de Fornecimento 379: EQUIPAMENTO TELEFÔNICO E TELEGRÁFICO,Município 5100: SANTA CECILIA
Linha de Fornecimento 380: EQUIPAMENTOS E COMPONENTES PARA SEGURANÇA DE COMUNICAÇÕES,Município 5118: Peixe-Boi
Linha de Fornecimento 381: OUTROS EQUIPAMENTOS CRIPTOLÓGICOS E COMPONENTES,Município 5134: PONTE DE PEDRAS
Linha de Fornecimento 382: EQUIPAMENTOS DE TELETIPO E FAC-SÍMILE,Município 5142: SANTAREM
"Linha de Fornecimento 383: EQUIPAMENTOS PARA COMUNICAÇÃO POR RÁDIO E TELEVISÃO, EXCETO OS DE AERONAVES",Município 5150: PORTEL
"Linha de Fornecimento 384: EQUIPAMENTOS PARA COMUNICACÃO POR RÁDIO E TELEVISÃO, PARA A-ERONAVES",Município 5177: Porto de Moz
"Linha de Fornecimento 385: EQUIPAMENTOS DE RADIONAVEGAÇÃO, EXCETO OS DE AERONAVES",Município 5185: SAO BENTINHO
Linha de Fornecimento 386: EQUIPAMENTOS PARA RADIONAVEGAÇÃO DE AERONAVES,Município 5193: PRAINHA
"Linha de Fornecimento 387: SISTEMAS DE INTERCOMUNICAÇÃO E AMPLIFICAÇÃO DE VOZ, EXCETOOS DE AERONAVES",Município 5207: SAO DOMINGOS DO CARIRI
"Linha de Fornecimento 388: SISTEMAS PARA INTERCOMUNICAÇÃO E AMPLIFICAÇÃO DE VOZ, DE AERONAVES",Município 5215: Primavera
Linha de Fornecimento 389: EQUIPAMENTOS PARA GRAVAÇÃO E REPRODUÇÃO DE SOM,Município 5231: Salinópolis
Linha de Fornecimento 390: EQUIPAMENTOS PARA GRAVAÇÃO E REPRODUÇÃO DE VÍDEO,Município 5240: SAO FRANCISCO
"Linha de Fornecimento 391: EQUIPAMENTOS DE RADAR, EXCETO OS DE AERONAVES",Município 5258: SALVATERRA
Linha de Fornecimento 392: EQUIPAMENTOS DE RADAR PARA AERONAVES,Município 5274: SANTA CRUZ DO ARARI
Linha de Fornecimento 393: EQUIPAMENTOS SUBMARINO DE SOM,Município 5282: SÃO JOSÉ DE PRINCESA
Linha de Fornecimento 394: EQUIPAMENTOS PARA COMUNICAÇÃO COM LUZ VISÍVEL E INVISÍVEL,Município 5290: Santa Isabel do Pará
"Linha de Fornecimento 395: EQUIPAMENTOS PARA VISÃO NOTURNA, POR RADIAÇÃO EMITIDA E REFLETIDA",Município 5304: SÃO JOSÉ DO BREJO DA CRUZ
"Linha de Fornecimento 396: DISPOSITIVOS DE RADIAÇÃO COERENTE ESTIMULADA, SEUS COMPONENTES E ACESSÓRIOS",Município 5312: Santa Maria do Pará
"Linha de Fornecimento 397: EQUIPAMENTOS PARA CONTRAMEDIDAS ELETRÔNICAS, CONTRA-CONTRAMEDIDAS E DE CAPACIDADE DE REAÇÃO RÁPIDA",Município 5339: Santana do Araguaia
Linha de Fornecimento 398: EQUIPAMENTOS DIVERSOS PARA COMUNICAÇÕES,Município 5355: SANTAREM
Linha de Fornecimento 399: RESISTORES,Município 5371: Santarém Novo
Linha de Fornecimento 400: CAPACITORES,Município 5380: TENÓRIO
Linha de Fornecimento 401: FILTROS E REDES,Município 5398: Santo Antônio do Tauá
"Linha de Fornecimento 402: FUSÍVEIS INTERRUPTORES, ISOLANTES E PROTETORES",Município 5410: São Caetano de Odivelas
Linha de Fornecimento 403: DISJUNTORES,Município 5436: São Domingos do Capim
Linha de Fornecimento 404: CHAVES ELÉTRICAS,Município 5444: ARACOIABA
Linha de Fornecimento 405: CONECTORES ELÉTRICOS,Município 5452: São Félix do Xingu
"Linha de Fornecimento 406: BORNES, TERMINAIS E LÂMINAS TERMINAIS",Município 5460: CASINHAS
Linha de Fornecimento 407: RELÉS E SOLENÓIDES,Município 5479: São Francisco do Pará
Linha de Fornecimento 408: BOBINAS E TRANSFORMADORES,Município 5495: São João do Araguaia
Linha de Fornecimento 409: CRISTAIS OSCILADORES E PIEZOELÉTRICOS,Município 5509: Jatobá
Linha de Fornecimento 410: VÁLVULAS ELETRÔNICAS E FERRAGENS CORRELATAS,Município 5517: São Miguel do Guamá
Linha de Fornecimento 411: DISPOSITIVOS A SEMICONDUTOR E PLACAS ASSOCIADAS (CIRCUITOS),Município 5525: Lagoa Grande
Linha de Fornecimento 412: MICROCIRCUITOS ELETRÔNICOS,Município 5533: SAO SEBASTIAO DA BOA VISTA
Linha de Fornecimento 413: MÓDULOS ELETRÔNICOS,Município 5550: Senador José Porfírio
"Linha de Fornecimento 414: FONES, MICROFONES E ALTO-FALANTES",Município 5568: SANTA FILOMENA
Linha de Fornecimento 415: ISOLADORES ELÉTRICOS E MATERIAIS ISOLANTES,Município 5576: SOURE
Linha de Fornecimento 416: FERRAGENS E SUPRIMENTOS DE ELETRICIDADE,Município 5584: Tamandare
Linha de Fornecimento 417: ESCOVAS DE CONTATO ELÉTRICO E ELETRODOS,Município 5592: Tomé-Açú
Linha de Fornecimento 418: DISPOSITIVOS OPTOELETRÔNICOS E ITENS CORRELATOS,Município 5606: CAMPESTRE
"Linha de Fornecimento 419: ANTENAS, GUIAS DE ONDA E ITENS CORRELATOS",Município 5614: Tucurui
Linha de Fornecimento 420: SINCRONIZADORES E ANALISADORES,Município 5630: Vigia
"Linha de Fornecimento 421: CONJUNTOS DE CABOS, CORDÕES E FIOS ELÉTRICOS PARA EQUIPAMENTOS DE COMUNICAÇÕES",Município 5649: ALTO CAPARAO
Linha de Fornecimento 422: AMPLIFICADORES,Município 5657: Viseu
"Linha de Fornecimento 423: CONJUNTOS ELÉTRICOS E ELETRÔNICOS, PLACAS, CARTÕES E ITENSCORRELATOS",Município 5673: Redenção
Linha de Fornecimento 424: COMPONENTES ELÉTRICOS E ELETRÔNICOS DIVERSOS,Município 5681: ARICANDUVA
Linha de Fornecimento 425: JUNTAS ROTATIVAS,Município 5690: Rio Maria
"Linha de Fornecimento 426: ACOPLADORES , ISOLADORES E MISTURADORES",Município 5703: BERIZAL
Linha de Fornecimento 427: ATENUADORES,Município 5711: Xinguara
Linha de Fornecimento 428: FILTROS,Município 5720: BONITO DE MINAS
Linha de Fornecimento 429: MULTIPLEXADORES E DEMULTIPLEXADORES,Município 5738: Rondon do Pará
Linha de Fornecimento 430: CONDUTORES DE FIBRA ÓTICA,Município 5754: Bom Jesus do Tocantins
Linha de Fornecimento 431: CABOS DE FIBRA ÓTICA,Município 5762: Bugre
Linha de Fornecimento 432: CONJUNTOS MONTADOS DE CABOS DE FOBRA ÓTICA,Município 5770: Brejo Grande do Araguaia
Linha de Fornecimento 433: INTERRUPTORES DE FIBRA ÓTICA,Município 5789: CABECEIRA GRANDE
Linha de Fornecimento 434: TRANSMISSORES DE FIBRA OTICA,Município 5797: Concórdia do Pará
Linha de Fornecimento 435: RECEPTORES DE FIBRA OTICA,Município 5800: CAMPO AZUL
Linha de Fornecimento 436: REPETIDORES OTICOS,Município 5819: Curionópolis
